decile,clientes,ventas_periodo,score_promedio,incremental_esperado_con_accion,incremental_esperado_sin_accion,uplift_total,roi_uplift_pct_ventas
1,526,22043750.0,0.6067097624142811,2055522.8144274594,1712377.919759355,343144.8946681042,0.015566539026622249
2,525,19682119.0,0.5621275543270028,1702883.463230609,1396490.9648716394,306392.4983589697,0.015567048362982141
3,525,22775690.0,0.5383796867664246,1891742.155479495,1632916.3065306088,258825.8489488861,0.011364127670726379
4,526,19270326.0,0.5212609740648844,1552844.940052525,1345018.6999280872,207826.2401244378,0.01078478071021932
5,525,21663733.0,0.5057624975416043,1697750.6587627374,1476045.4424970474,221705.2162656901,0.01023393411771139
6,525,19399270.0,0.48920344348373634,1473562.5829646427,1279400.7646285626,194161.81833608012,0.010008717768043855
7,526,19521550.0,0.47167963816413094,1433134.1468519717,1251552.4581243636,181581.68872760798,0.009301602010476012
8,525,17609395.0,0.4531146702915829,1245243.8627951483,1075426.7772243791,169817.08557076912,0.009643550250918282
9,525,18883678.0,0.4285164353056344,1268351.1157707875,1119281.922263424,149069.1935073634,0.007894076223252874
10,526,17435057.0,0.36544746134243167,1000523.4677512979,895975.765234872,104547.70251642581,0.005996407268208289
