,correlation_with_target
share_CAT1,0.028994466185856747
initiatives_count,-0.02821857542467226
share_CAT8,-0.025216888461754045
has_any_initiative,-0.02160287477189903
has_credit_line,-0.021404162143648868
avg_basket_size,-0.01994964575347742
share_CAT9,-0.019160279857234307
mean_discount,-0.01643446778999033
has_marketing_impulse,-0.01615180051536543
recency_days,0.01590751836951788
amount_growth_ratio,-0.01568488134051692
share_CAT4,0.014800761765639561
has_perfect_customer,-0.011620570814376978
mean_discount_ratio,-0.011602943482580074
min_amount,-0.008800881709952378
share_CAT3,0.008363754326152887
max_amount,-0.0074866279218065825
n_unique_products,-0.006116053831828106
share_CAT10,0.005772950257767094
amount_early,-0.005678614526513997
total_discount,-0.005581690821370231
n_transactions,-0.005535370829188501
active_weeks,0.005406676672614634
amount_volatility,-0.005136342314185557
total_amount,-0.005057015607560449
total_net_amount,-0.005025979280845825
std_amount,-0.0048094949923961515
active_months,0.004658855084578351
n_unique_categories,-0.004282874305388133
category_hhi,-0.004110605393286083
amount_late,-0.003773130475835896
amount_growth_abs,0.0036321709113301586
median_amount,-0.0032628736016799493
tenure_in_period_days,0.0028646465736630157
share_CAT2,0.0026578731440584577
age_alicorp,-0.002382536714479816
mean_amount,0.0022039250269286995
share_CAT6,-0.0022014334837231007
share_CAT5,-0.0012110523862472633
share_CAT7,-0.0008800963012783292
n_unique_dates,-0.0007647684229221667
category_entropy,0.0006430658514540272
