decile,n,positives,mean_prob,positive_rate,lift,cum_positives,cum_positives_pct,cum_population_pct
1,106,15,0.6080817580079165,0.14150943396226415,0.869745117510758,15,0.08771929824561403,0.10085632730732635
2,105,20,0.5622239508930981,0.19047619047619047,1.1707045391255917,35,0.2046783625730994,0.20076117982873454
3,105,19,0.5393168656078301,0.18095238095238095,1.1121693121693121,54,0.3157894736842105,0.3006660323501427
4,105,16,0.522098876617901,0.1523809523809524,0.9365636313004735,70,0.4093567251461988,0.4005708848715509
5,105,11,0.5058000735809797,0.10476190476190476,0.6438874965190755,81,0.47368421052631576,0.5004757373929591
6,105,18,0.4886764911722727,0.17142857142857143,1.0536340852130326,99,0.5789473684210527,0.6003805899143673
7,105,22,0.47320132564037454,0.20952380952380953,1.287774993038151,121,0.7076023391812866,0.7002854424357755
8,105,18,0.4565036715126197,0.17142857142857143,1.0536340852130326,139,0.8128654970760234,0.8001902949571836
9,105,15,0.43260420321442966,0.14285714285714285,0.8780284043441937,154,0.9005847953216374,0.9000951474785919
10,105,17,0.3709672169484082,0.1619047619047619,0.995098858256753,171,1.0,1.0
